timestamp,sn,text,EST
2019-05-23 03:28:02,TravelWithJared,"RT @PhilKeoghan: You could argue that there is no better education than travel ... always helps give me perspective, imagine having to pres…",2019-05-22 22:28:02
2019-05-23 03:27:59,TheNewsIntern1,Of course Rachel is going to cry the entire time  #AmazingRace https://t.co/QU9rBijcRs,2019-05-22 22:27:59
2019-05-23 03:27:57,TravelWithJared,RT @AmazingRaceCBS: This looks FUN. #AmazingRace https://t.co/KHQvKHE3l2,2019-05-22 22:27:57
2019-05-23 03:27:54,TravelWithJared,"RT @PhilKeoghan: Hi Thea, please send a photo of you and your family watching #AmazingRace https://t.co/tdzIsny080",2019-05-22 22:27:54
2019-05-23 03:27:44,RedRobz,So happy I don’t have to see those a-holes from #Survivor anymore on the #AmazingRace love every team there,2019-05-22 22:27:44
2019-05-23 03:27:40,TravelWithJared,RT @AmazingRaceCBS: Let’s hope they’re good at math. #AmazingRace https://t.co/7kCbjkDZDr,2019-05-22 22:27:40
2019-05-23 03:27:33,kierashoyos,RT @IGIF_: Elisa to Rachel. 😂 #AmazingRace #TAR31 https://t.co/8w2fbjuaEU,2019-05-22 22:27:33
2019-05-23 03:27:08,TravelWithJared,RT @PhilKeoghan: Don't go anywhere ... brace yourself for a dramatic #Head2Head returning to #AmazingRace ... now #TheWorldisWaitingForYou…,2019-05-22 22:27:08
2019-05-23 03:26:58,Quest_fk,"RT @PhilKeoghan: A picture says 1,000 words ... This in the middle of the night tired eyes shot explains what happens when you shoot #12Sho…",2019-05-22 22:26:58
2019-05-23 03:26:43,SarahQuider,"Still waiting for our call: https://t.co/tY3FKUCIkb
#winegirls #amazingrace @AmazingRaceCBS @PhilKeoghan… https://t.co/hk2fl9mvuk",2019-05-22 22:26:43
2019-05-23 03:25:47,dryedmangoez,The VR dive from the Burj Khalifa fake out has to be one of the biggest disappointments for an #AmazingRace team. What was that?!,2019-05-22 22:25:47
2019-05-23 03:25:02,DebiJune2,RT @katm0512: Routing for Nichole and Victor #AmazingRace,2019-05-22 22:25:02
